title,itemId
Payyoli Beach,202
Mavoor Wetlands,203
Kalarandi Waterfalls,204
Iruvanjippuzha,205
Peruvannamuzhi Dam - Kuttiady Irrigation Project,206
Kanjirapuzha Dam,207
Kanjirapuzha Garden,208
Attappadi View point,209
Teak Museum & Bio-resources Nature Park,210
Conolly's Plot,211
Adyanpara Waterfall,212
Sky Walk Bungalow Kunnu,213
Old DFO Bungalow,214
Pandippuzha,215
Kottakkunnu,216
Chamakkayam Riverside Park,217
Kottakunnu Park Step Way,218
Oorakam Hill,219
Perimbalam,220
Silsila Water Theme Park,221
Cheruppadi Mala(205m),222
Biyyam Kayal Park,223
Padinjarekkara Azhimukham Beach,224
Noor Lake,225
Thunchan parambu (Thunchan Memorial Research Center),226
Cee Vee Land,227
Ayyappanov Waterfalls,228
Kodikuthimala Watch Tower,229
Kulir Mala(164m),230
Kodikuthi Mala,231
kodikuthimala View Point,232
Paloor Kotta Waterfall,233
Manikkinar,234
Marunnara,235
Nilayoram Children's Amusement Park,236
Kozhipara Water Fall,237
Kettungal Beach,238
Thooval Theeram Park,239
Flora Fantasia Amusement Park,240
Kollamkolli waterfalls Choolattipara,241
Chekkunnu Mala,242
Nedumkayam Rain Forest,243
Palakkad Fort,244
Fantasy Park,245
Thasarak,246
Subix Merry Land,247
Kava View Point - East,248
Anju Vilakk (Five Lights),249
Ambattupalayam,250
Seethargundu View Point,251
Nelliyampathy Beauty Viewpoint,252
Seetharkund Waterfalls. Kunnakkad. Kollengode,253
Seetharkundu Viewpoint,254
Meenampara Estate,255
Palakapandi Irrigation Project,256
Pothundi Gardens,257
pothundi dam view point park,258
Malampuzha Garden,259
Malampuzha Ropeway Station,260
Siruvani reservoir,261
Kava Reservoir View Point,262
Elivai Malai,263
Atla Water Falls Aaral Falls,264
Malampuzha dam snake park,265
Peechi-Vazhani Wildlife Sanctuary,266
Chimmini Dam,267
Sholayar Reserve Forest,268
Ilanjippara View Point,269
Ilanjipara Waterfalls,270
Peringalkuthu Hydel Tourism,271
Silent Valley National Park,272
Varikkassery Mana manissery,273
Ananganmala Eco Tourism,274
Kunjan Nambiar Smarakam,275
Ananganadi Hills,276
Kavalappara Palace,277
Vallathol Museum,278
Cheruchakkichola Waterfalls & Check Dam,279
Velliyamkallu Heritage Park,280
Chulliyar Dam LBMC,281
Parambikulam Tiger Reserve,282
Peruvari Island Nest - Parambikulam,283
Kannimara Teak,284
Chulanur Peafowl Sanctuary,285
Kudakkallu Parambu - Megalithic Burial Site,286
British Bridge,287
Kallaayi Kunnu (Kallazhy Hills ) - Akathiyoor / Narimada Kunnu,288
Sakthan Thampuran Palace,289
Thrissur Zoo & Museum,290
Vilangan Hills,291
Thrissur Museum,292
Marottichal Waterfalls,293
Pattathippara Water Falls (Entry Restricted Forest Area),294
"Nehru Park, Thrissur",295
Vadakkechira,296
Vaidyaratnam Ayurveda Museum,297
Mural Art Museum,298
The State Museum - Thrissur,299
Puzhakkal River Tourism Village,300
Cheloor Mana,301
Poomala Dam Park,302
Pullu Paadam North,303
Vanchikulam,304
Marottichal Watefalls,305
Marottichal Waterfall & Forest wildlife,306
Central Jail Childrens Park,307
Peruvanmala,308
Athirappilly Water Falls,309
Charpa Waterfalls,310
Chimmini Wildlife Sanctuary,311
Paniyeli Poru Rapids,312
Vazhachal Waterfalls,313
Thumboormuzhy Dam,314
Dreamworld Water Park,315
Abhayaranyam Kaprikkadu Ecotourism,316
Illithodu Eco Tourist Spot,317
Paniyeli Poru Eco Tourism Center,318
Thumboormuzhi Butterfly Park,319
Ezhattumugham Dam,320
Valara Waterfalls,321
Mahogany Thottam,322
Peringalkuthu Reservoir View Point,323
St. Thomas Grotto,324
Haritha bio Park,325
Pettamala Top Station,326
Paady (Kalabhavan Mani's),327
Manapattu Chira,328
Chavakkad Beach,329
Devaswom Museum,330
Punnathur Kotta Elephant Camp-Guruvayur Devaswom,331
Light House,332
Rudratheertham,333
Ariyannur Stone Umbrellas,334
Chattukulam,335
Munimada,336
Kottappuram Muziris Fort(remnants),337
Munakkal Beach,338
Cheraman Juma Masjid Museum,339
Paliam Palace,340
Paliam Nalukettu Museum,341
Mala Synagogue,342
Paravur Jewish Synagogue,343
Dr.Ambedkar Park North Paravur,344
Kauthuka Park,345
K S Park,346
Chettuva Azhimukham Beach,347
Kothakulam,348
Kazhimbram Beach,349
Munambam Beach,350
Pallippuram Fort,351
Kuzhupilly Beach,352
Veeranpuzha,353
Matsyafed Narakkal Fish Farm,354
Njarackal Arattuvazhi Beach,355
Nedungad,356
Kacheri Malika,357
Paliam Kovilakam,358
Peechi Dam Childrens Park & Garden,359
Karakkundu Water Falls,360
Mattancherry Palace,361
Paradesi Synagogue,362
Hill Palace Museum,363
Willingdon Island,364
Indo Portuguese Museum,365
Mangalavanam Bird Sanctuary,366
Kerala Folklore Museum,367
Museum Of Kerala History,368
Vasco da Gama Square,369
Subhash Bose Park,370
Ruins of the Gunnery of Fort Emmanuel,371
Bastion Bunglow,372
Indian Naval Maritime Museum,373
Lulu International Shopping Mall,374
Changampuzha Park,375
Puthenthodu Beach Kochi,376
Vypin Lighthouse,377
Matsyafed Malipuram Fish Farm-Aqua Tourism,378
Indira Priyadarsini Children's Park,379
International Tourism Police Station And Police Museum,380
Queens Way,381
Catholic Art Museum,382
Sparky's,383
Coconut Museum,384
Dutch Palace Pond,385
Thattekad Bird Sanctuary,386
Ayyappan mudi (Mount Ayyappa),387
"Jungle Park, Bhoothathankettu",388
Suvarnodyanam Biological Park,389
Nagancheri Mana Park,390
Areekkal WaterFalls,391
Kochareekkal Caves,392
Mayiladum Para,393
Cheeyappara Waterfalls,394
Kattadikadavu View Point,395
Kottapara Hilltop,396
Swarnath Mana - KANAKADHARA STOTRAM birth place,397
Koorumala View Point,398
PERUMBANKUTHU WATERFALLS,399
Thommankuthu Waterfalls,400
Aanachadikuthu Waterfalls,401
Meenuliyan Para,402
Venmony View Point,403
Chellanam Beach,404
Marari beach,405
Alleppey Lighthouse,406
Revi Karuna Karan Memorial Museum,407
Krishnapuram Palace,408
Amaze World,409
Vijay Park,410
Ambalapuzha Beach,411
Thottappally Beach Alleppey,412
Beach Park THOTTAPPALLY,413
Thrikkunnappuzha Beach,414
Arthunkkal Beach,415
Shankar Memorial National Cartoon Museum and Art Gallery,416
Eravikulam National Park,417
Mattupetty Dam,418
Anamudi,419
Pothamedu View Point,420
The Blossom International Park,421
Attukad Waterfalls,422
Nayamakad Waterfall,423
Mattupatti Dam,424
Chokramudi Peak,425
Carmelagiri Elephant Park,426
KFDC Floriculture Centre,427
Wonder Valley Adventure and Amusement Park,428
Dream Land Fun and Adventure,429
Lockhart Tea Museum,430
Munnar Headworks Dam,431
Cowboy Park,432
Rajmala Hills Checkpost,433
Cinnamon Gardens Spices Plantation,434
Chengulam Dam,435
Topiary Flower Show,436
Karadipara View Point,437
Carmelgiri Botanical Garden,438
Swiftlet Cave Munnar,439
Pothamedu - Aanakkal view point,440
Chithirapuram View Point,441
Eruttukanam Elephant Camp,442
Mount Carmel Heritage Museum,443
Kalladanthy Natural Cave Munnar,444
KFDC Garden,445
Wild Eye Adventures Jeep Safari &village Tour,446
Abraham's Spice Garden,447
Elephant Junction Thekkady,448
Parunthumpara Hill View Point,449
Thekkady Boat Landing,450
Goodrical Forest Range Office (Gavi - Kakki Eco Tourism),451
Kumily Rose Park,452
The Spice Route Ayurvedic & Spices Garden,453
Chellarcovil View Point,454
ANGADIPETTY - KERALA AYURVEDA MUSEUM,455
Panchalimedu View Point,456
Green Park Spices,457
Sathram View Point 3,458
Bhasmakulam,459
Sabarimala View Point,460
Periyar explore thekkady jeep safari,461
Chenthamara Kokka,462
Neer Veezhcha Water Falls,463
Panchalimedu Meadows,464
Thoovanam Waterfalls,465
Kurinjimala Sanctuary,466
Muniyara - Anakottapara Park,467
Rhodo Valley,468
Devikulam Lake,469
Chinnakanel WaterFalls,470
Chinnar Wildlife Sanctuary,471
Lakkam Waterfalls Munnar,472
Sandalwood Forest,473
Rajiv Gandhi Children's Park,474
Idukki Dam,475
Cheruthony Dam View Point,476
Microwave View Point,477
Idukki Wildlife Sanctuary,478
Vysali Cave,479
Palkulammedu,480
Nadukani Pavilion,481
Njandirukki Waterfalls,482
Uppukunnu View Point,483
Tortoise Rock,484
Kundale Lake,485
Kundala Dam,486
Mathikettan Shola National Park,487
Anayirankal Dam,488
Elephant Abode Boating Center,489
Kallar Meenmutty Waterfalls,490
Valanjamkanam Water Falls,491
Ammachi Kottaram,492
Mottakunnu Hill View Point Kuttikkanam,493
Mlamala Waterfalls,494
Muniyara Cave,495
Seetha Devi Lake,496
Pettimudi Hill Top,497
Neelakurinji bloom,498
Viripara Waterfalls,499
Kolukkumalai Sunrise jeep safari 2000 RS,500
Tea Town Munnar,501
Erattayar Dam Reservoir,502
Thondaman Kotta,503
Thooval Waterfall,504
Samudra Beach Park,505
Vizhinjam Lighthouse (Kovalam Lighthouse),506
Rock Cut Cave Temple,507
Sagarika Marine Research Aquarium,508
Thiruvananthapuram Zoo,509
Sri Chitra Art Gallery,510
Kowdiar Palace Trivandrum,511
"Magic Planet, Thiruvananthapuram",512
Koyikkal Palace,513
Veli Lake Tourist Village,514
Valiathura Sea Port,515
Priyadarshini Planetarium,516
Veli Beach,517
Madavoorpara Ancient Rock Cut Shiva Temple & Park,518
Veli Lake,519
Akkulam Tourist Village,520
Keralam - Museum of History and Heritage,521
Maharaja Swathi Thirunal Palace,522
Sreevaraham Temple Pond,523
Gandhi Park,524
Soil Museum,525
Matsya Kanyaka statue,526
St Andrews Beach,527
Valiathura Beach,528
Sunil's Wax Museum,529
Edayar Island,530
Kerala Biodiversity Museum,531
Vellanikkalpara Viewpoint,532
Veli Beach Park,533
TESLA Pedagogy Park,534
Snake Park,535
Madavoor Rock View Point,536
Vyloppalli Samskrithi Bhavan,537
Varkala cliff,538
Varkala Tunnel,539
Varkala Aquarium.,540
Anchuthengu Fort,541
Edava Beach Varkala,542
Golden Island Varkala,543
Ponmudi Hill Station,544
Braemore Marigold Estate,545
Arjuna Backwaters,546
Pozhiyoor Golden beach,547
Pozhiyoor Beach,548
Charithra Malika,549
Vettukadu Beach,550
Muthala Pozhi Harbor,551
Perumathura Beach,552
Chittipara,553
Chittippara View Point,554
Peppara Dam Reservoir,555
Lower Meenmutty Hydel Project,556
Neyyar Wildlife Sanctuary,557
Neyyar Lion Safari Park,558
Chuttippara,559
Noottavan Para View Point,560
Mangattu Palace,561
ARANMULA KANNADI- THE AUTHENTIC ARANMULA METAL MIRROR MAKERS,562
Konni Eco-Tourism Centre,563
Adavi Eco Tourism (coracle boat),564
Manalar Waterfalls(achankoli),565
Ambanad Estate,566
Sasthamcotta Lake,567
Thenmala Reservoir Boating Point,568
Look Out Ottakkal,569
"Idimuzhangan Nights, Shendurney",570
Munro Island Dutch church,571
Kovilthottam Lighthouse,572
Thevalli Palace,573
Neendakara Port,574
Thangassery Fort,575
"Adventure Park, Kollam",576
Thangassery Beach,577
Sardar Vallabhai Patel Police Museum,578
"Children's Park, Kollam",579
Chinnakada Clock Tower,580
Neendakara Fishing Harbour,581
Kattakka Kayal,582
Rosemala View Point,583
Shendurney Wildlife Sanctuary,584
Aranya gardens,585
Konni Reserve Forest,586
Pinnacle View Point Chettukuzhy,587
Malamel Rock,588
Malamel Naadukaani Paara,589
Meenpidi Para,590
Jatayu Tourist Village,591
Kudukkathupara,592
Anjengo Light House,593
Thalassery Fort,594
Overburry's Folly,595
Gundert Bungalow,596
Dharmadam Beach,597
Thalassery Sea Bridge View Point,598
Peralassery Temple Pond,599
Edakkad Beach. Asia's longest drive in beach,600
Mahe River Side Walkway,601
Mahe Boat House and Walk way,602
Parassinikkadavu Snake Park,603
Vismaya Water Theme Park,604
Trichambaram Sree Krishna Temple Pond,605
Ezhilam Tourism,606
Aralam Wildlife Sanctuary,607
Aralam Reserved Forest,608
Pazhassi Dam,609
Palchuram View Point,610
Pazhassi Kovilakam,611
Ezharakund Waterfalls,612
Uchatthu Kayam,613
Koottupuzha Near Uchatthu Kayam,614
Kunnathoor Padi,615
Paithal Mala,616
Sasippara viewpoint,617
Kalanki - The Queen Of Hills,618
